PR Number,Review Author,Review State,Submitted At,Review Body
26090,asmorkalov,COMMENTED,2024-08-30 06:21:28+00:00,
26090,mqcmd196,COMMENTED,2024-08-30 07:10:15+00:00,
26090,mqcmd196,COMMENTED,2024-08-30 07:10:33+00:00,
26090,mqcmd196,COMMENTED,2024-08-30 07:12:18+00:00,
26090,asmorkalov,COMMENTED,2024-08-30 07:40:11+00:00,
26057,opencv-alalek,COMMENTED,2024-08-22 10:39:53+00:00,
26057,asmorkalov,COMMENTED,2024-08-22 13:20:09+00:00,
26057,mshabunin,COMMENTED,2024-08-23 07:45:36+00:00,
26057,mshabunin,COMMENTED,2024-08-23 08:49:42+00:00,
26056,asmorkalov,COMMENTED,2024-08-22 07:45:32+00:00,
26056,opencv-alalek,COMMENTED,2024-08-23 08:40:15+00:00,
26056,fengyuentau,COMMENTED,2024-08-26 03:57:49+00:00,
26056,fengyuentau,COMMENTED,2024-08-26 03:59:58+00:00,
26056,asmorkalov,COMMENTED,2024-08-28 13:21:30+00:00,
26056,vpisarev,COMMENTED,2024-09-01 13:27:56+00:00,
26056,fengyuentau,COMMENTED,2024-09-02 10:09:10+00:00,
26056,fengyuentau,COMMENTED,2024-09-02 10:11:11+00:00,
26056,vpisarev,COMMENTED,2024-09-04 21:44:06+00:00,
26056,vpisarev,COMMENTED,2024-09-05 18:36:11+00:00,
26056,vpisarev,COMMENTED,2024-09-05 18:37:02+00:00,
26056,vpisarev,COMMENTED,2024-09-05 18:38:24+00:00,
26056,vpisarev,COMMENTED,2024-09-05 18:39:47+00:00,
26056,vpisarev,COMMENTED,2024-09-05 18:42:01+00:00,
25984,fengyuentau,COMMENTED,2024-08-05 08:57:08+00:00,
25984,fengyuentau,COMMENTED,2024-08-06 08:33:09+00:00,
25984,fengyuentau,COMMENTED,2024-08-06 08:33:22+00:00,
25984,vpisarev,COMMENTED,2024-08-09 06:44:03+00:00,
25984,fengyuentau,COMMENTED,2024-08-09 07:24:05+00:00,
25984,asmorkalov,COMMENTED,2024-08-27 07:16:47+00:00,
25984,fengyuentau,COMMENTED,2024-08-27 15:38:15+00:00,
25984,fengyuentau,COMMENTED,2024-08-27 15:41:21+00:00,
25984,fengyuentau,COMMENTED,2024-08-27 15:41:43+00:00,
25984,fengyuentau,COMMENTED,2024-08-27 15:43:32+00:00,
25984,fengyuentau,COMMENTED,2024-08-27 15:44:30+00:00,
25984,asmorkalov,COMMENTED,2024-08-28 07:26:46+00:00,
25984,fengyuentau,COMMENTED,2024-08-28 08:42:13+00:00,
25984,fengyuentau,COMMENTED,2024-08-30 14:32:44+00:00,
25984,asmorkalov,COMMENTED,2024-08-30 15:40:23+00:00,
25984,fengyuentau,COMMENTED,2024-09-05 07:56:03+00:00,
25984,opencv-alalek,COMMENTED,2024-09-06 07:40:44+00:00,"Changed accuracy checks in ""optimization"" PR looks very strange."
25984,fengyuentau,COMMENTED,2024-09-06 07:49:53+00:00,
25984,fengyuentau,COMMENTED,2024-09-06 07:53:48+00:00,
25958,asmorkalov,COMMENTED,2024-07-26 12:01:59+00:00,
25958,opencv-alalek,COMMENTED,2024-08-03 03:57:18+00:00,
25951,mshabunin,COMMENTED,2024-07-30 18:02:29+00:00,
25951,mshabunin,COMMENTED,2024-07-31 12:06:47+00:00,
25951,mshabunin,COMMENTED,2024-07-31 12:09:12+00:00,
25923,asmorkalov,COMMENTED,2024-07-17 09:31:27+00:00,
25923,zihaomu,COMMENTED,2024-07-17 09:57:50+00:00,
25923,asmorkalov,COMMENTED,2024-07-17 10:02:17+00:00,
25923,zihaomu,COMMENTED,2024-07-17 10:14:53+00:00,
25923,dkurt,COMMENTED,2024-07-23 08:53:09+00:00,
25923,dkurt,COMMENTED,2024-07-23 08:54:18+00:00,
25923,dkurt,COMMENTED,2024-07-26 06:49:01+00:00,
25923,asmorkalov,COMMENTED,2024-08-02 11:48:34+00:00,
25923,zihaomu,COMMENTED,2024-08-09 07:04:17+00:00,
25923,zihaomu,COMMENTED,2024-08-09 07:12:55+00:00,
25923,zihaomu,COMMENTED,2024-08-09 07:13:42+00:00,
25923,zihaomu,COMMENTED,2024-08-09 07:14:24+00:00,
25909,opencv-alalek,COMMENTED,2024-07-15 16:56:08+00:00,
25909,gblikas,COMMENTED,2024-07-17 09:04:27+00:00,
25891,asmorkalov,APPROVED,2024-07-09 19:01:00+00:00,
25891,opencv-alalek,COMMENTED,2024-07-12 07:58:25+00:00,
25891,asmorkalov,COMMENTED,2024-09-13 07:02:55+00:00,
25891,WanliZhong,COMMENTED,2024-09-13 07:07:35+00:00,
25891,WanliZhong,COMMENTED,2024-09-13 09:08:15+00:00,
25715,vrabaud,COMMENTED,2024-06-25 15:17:42+00:00,"Mostly, please split the code into what was taken from upstream, and what you added, this will make it easier to update files to upstream."
25715,sturkmen72,COMMENTED,2024-06-25 15:48:55+00:00,
25715,sturkmen72,COMMENTED,2024-06-25 18:13:09+00:00,
25715,sturkmen72,COMMENTED,2024-06-25 18:36:57+00:00,
25715,sturkmen72,COMMENTED,2024-06-25 18:46:04+00:00,
25715,vrabaud,COMMENTED,2024-06-28 13:21:52+00:00,
25715,sturkmen72,COMMENTED,2024-07-12 12:20:30+00:00,
25715,vrabaud,COMMENTED,2024-08-27 12:30:16+00:00,
25710,vpisarev,APPROVED,2024-09-06 06:11:06+00:00,
25710,vpisarev,APPROVED,2024-09-13 06:05:18+00:00,
25710,asmorkalov,COMMENTED,2024-09-13 09:01:17+00:00,
25708,vpisarev,COMMENTED,2024-07-10 07:20:13+00:00,
25708,vpisarev,COMMENTED,2024-07-10 07:21:06+00:00,
25708,vpisarev,COMMENTED,2024-07-17 06:36:45+00:00,
25708,vpisarev,COMMENTED,2024-07-17 06:39:31+00:00,
25708,asmorkalov,COMMENTED,2024-09-06 13:52:06+00:00,
25691,vrabaud,COMMENTED,2024-06-03 13:37:22+00:00,
25691,asmorkalov,COMMENTED,2024-06-10 09:11:15+00:00,
25691,redhecker,COMMENTED,2024-06-27 01:25:56+00:00,
25691,redhecker,COMMENTED,2024-06-27 01:26:21+00:00,
25691,redhecker,COMMENTED,2024-06-27 01:26:35+00:00,
25691,redhecker,COMMENTED,2024-06-27 01:26:45+00:00,
25691,redhecker,COMMENTED,2024-06-27 08:19:38+00:00,
25691,vrabaud,COMMENTED,2024-07-15 14:43:15+00:00,The biggest issue I see is with transparency: it seems not be handled properly. There should be an option to apply the background color or not (which would therefore return cv::Mat4b)
25691,redhecker,COMMENTED,2024-08-18 15:09:52+00:00,
25691,redhecker,COMMENTED,2024-08-18 15:12:46+00:00,
25691,dkurt,COMMENTED,2024-09-12 03:01:45+00:00,
25656,opencv-alalek,COMMENTED,2024-05-28 14:13:51+00:00,"Main repo should not know specific detail of opencv_contrib.
Integration should be done through `modules/<name>/misc/javascript` instead."
25656,geroldmeisinger,COMMENTED,2024-05-28 14:27:17+00:00,
25624,savuor,COMMENTED,2024-05-28 19:53:31+00:00,
25624,vpisarev,COMMENTED,2024-07-12 07:27:21+00:00,
25608,vrabaud,COMMENTED,2024-06-03 13:45:16+00:00,
25608,asmorkalov,COMMENTED,2024-06-03 17:57:35+00:00,
25608,vrabaud,COMMENTED,2024-06-05 14:10:26+00:00,
25608,vrabaud,COMMENTED,2024-06-05 14:11:20+00:00,
25608,vrabaud,COMMENTED,2024-06-05 14:23:41+00:00,
25608,vrabaud,COMMENTED,2024-06-06 12:46:37+00:00,
25608,vrabaud,COMMENTED,2024-06-06 12:54:43+00:00,
25608,vrabaud,COMMENTED,2024-06-19 09:14:11+00:00,
25608,sturkmen72,COMMENTED,2024-07-04 15:22:12+00:00,
25608,sturkmen72,COMMENTED,2024-07-05 11:05:06+00:00,
25608,vrabaud,COMMENTED,2024-07-08 14:35:53+00:00,"Very nice, great progress on WebP and common API !"
25608,sturkmen72,COMMENTED,2024-07-11 09:38:39+00:00,
25608,vrabaud,COMMENTED,2024-07-13 07:24:12+00:00,
25608,vrabaud,COMMENTED,2024-07-13 07:35:01+00:00,
25608,sturkmen72,COMMENTED,2024-07-13 11:02:33+00:00,
25608,vrabaud,COMMENTED,2024-07-15 13:47:38+00:00,
25608,vrabaud,COMMENTED,2024-07-15 13:50:53+00:00,
25608,vrabaud,COMMENTED,2024-07-15 13:52:41+00:00,
25608,vrabaud,COMMENTED,2024-07-15 13:54:53+00:00,
25608,sturkmen72,COMMENTED,2024-07-15 14:23:58+00:00,
25608,sturkmen72,COMMENTED,2024-07-15 14:50:18+00:00,
25608,sturkmen72,COMMENTED,2024-07-15 15:45:59+00:00,
25608,vrabaud,COMMENTED,2024-07-17 13:54:52+00:00,
25608,vrabaud,COMMENTED,2024-07-17 15:00:02+00:00,
25608,vrabaud,COMMENTED,2024-07-17 15:11:36+00:00,
25608,sturkmen72,COMMENTED,2024-08-27 09:21:47+00:00,
25608,vrabaud,COMMENTED,2024-08-27 12:31:30+00:00,
25608,sturkmen72,COMMENTED,2024-09-05 17:56:54+00:00,
25608,vrabaud,COMMENTED,2024-09-10 11:13:01+00:00,
25608,sturkmen72,COMMENTED,2024-09-10 19:54:58+00:00,
25597,asmorkalov,COMMENTED,2024-07-12 13:31:20+00:00,
25584,opencv-alalek,COMMENTED,2024-05-17 07:29:21+00:00,Plugin support is necessary - it is mandatory for FFmpeg support on Windows.
25584,opencv-alalek,COMMENTED,2024-05-19 09:58:26+00:00,
25584,dkurt,COMMENTED,2024-06-05 06:01:04+00:00,
25581,asmorkalov,COMMENTED,2024-08-21 06:22:45+00:00,
25581,WanliZhong,COMMENTED,2024-08-21 06:30:53+00:00,
25581,opencv-alalek,COMMENTED,2024-08-21 07:16:20+00:00,
25569,asmorkalov,COMMENTED,2024-06-18 15:31:54+00:00,
25569,FantasqueX,COMMENTED,2024-06-25 14:50:47+00:00,
25569,opencv-alalek,COMMENTED,2024-07-01 18:01:15+00:00,
25569,FantasqueX,COMMENTED,2024-07-02 03:17:58+00:00,
25569,FantasqueX,COMMENTED,2024-07-02 03:29:13+00:00,
25548,WanliZhong,COMMENTED,2024-05-17 08:30:06+00:00,
25500,opencv-alalek,COMMENTED,2024-04-28 11:56:11+00:00,
25500,alex-urm,COMMENTED,2024-04-28 12:49:07+00:00,
25394,dkurt,COMMENTED,2024-04-12 06:31:13+00:00,
25394,dkurt,COMMENTED,2024-04-12 06:33:44+00:00,
25394,Gao-HaoYuan,COMMENTED,2024-04-12 07:16:37+00:00,
25394,dkurt,COMMENTED,2024-04-12 07:49:58+00:00,
25394,Gao-HaoYuan,COMMENTED,2024-04-12 07:55:26+00:00,
25394,dkurt,COMMENTED,2024-04-12 08:57:04+00:00,
25394,Gao-HaoYuan,COMMENTED,2024-04-12 09:59:45+00:00,
25394,dkurt,COMMENTED,2024-04-12 12:02:56+00:00,
25394,Gao-HaoYuan,COMMENTED,2024-04-13 12:28:05+00:00,
25394,Gao-HaoYuan,COMMENTED,2024-04-13 12:31:56+00:00,
25394,Gao-HaoYuan,COMMENTED,2024-04-13 12:33:15+00:00,
25394,Gao-HaoYuan,COMMENTED,2024-04-13 12:47:03+00:00,
25394,dkurt,COMMENTED,2024-04-14 07:39:43+00:00,
25394,dkurt,COMMENTED,2024-04-14 07:43:36+00:00,
25394,dkurt,COMMENTED,2024-04-14 07:46:23+00:00,
25394,Gao-HaoYuan,COMMENTED,2024-04-14 13:15:04+00:00,
25394,Gao-HaoYuan,COMMENTED,2024-04-14 13:19:50+00:00,
25394,Gao-HaoYuan,COMMENTED,2024-04-14 13:47:05+00:00,
25394,vpisarev,COMMENTED,2024-04-17 11:29:18+00:00,
25394,Gao-HaoYuan,COMMENTED,2024-07-15 09:50:41+00:00,
25394,vpisarev,COMMENTED,2024-07-24 13:58:38+00:00,
25394,vpisarev,COMMENTED,2024-07-24 14:00:33+00:00,
25394,vpisarev,COMMENTED,2024-07-24 14:01:30+00:00,
25394,vpisarev,COMMENTED,2024-07-24 14:06:09+00:00,
25394,Gao-HaoYuan,COMMENTED,2024-07-29 10:33:40+00:00,
25394,Gao-HaoYuan,COMMENTED,2024-07-29 10:33:49+00:00,
25394,Gao-HaoYuan,COMMENTED,2024-07-29 11:16:37+00:00,
25394,Gao-HaoYuan,COMMENTED,2024-07-29 11:16:48+00:00,
25394,Gao-HaoYuan,COMMENTED,2024-07-29 11:17:01+00:00,
25349,asmorkalov,COMMENTED,2024-04-09 12:58:15+00:00,
25349,gursimarsingh,COMMENTED,2024-04-10 15:37:12+00:00,
25349,gursimarsingh,COMMENTED,2024-04-10 15:37:58+00:00,
25349,asmorkalov,COMMENTED,2024-04-11 11:16:37+00:00,
25349,asmorkalov,COMMENTED,2024-04-11 11:27:17+00:00,
25349,gursimarsingh,COMMENTED,2024-04-12 14:36:07+00:00,
25349,gursimarsingh,COMMENTED,2024-04-12 14:37:26+00:00,
25349,asmorkalov,COMMENTED,2024-04-15 06:20:15+00:00,
25349,asmorkalov,APPROVED,2024-04-15 12:51:46+00:00,
25349,mshabunin,COMMENTED,2024-04-16 21:24:16+00:00,
25349,gursimarsingh,COMMENTED,2024-04-17 10:38:39+00:00,
25349,mshabunin,COMMENTED,2024-04-19 10:58:00+00:00,
25349,gursimarsingh,COMMENTED,2024-04-19 13:23:13+00:00,
25349,gursimarsingh,COMMENTED,2024-04-19 14:16:49+00:00,
25349,mshabunin,COMMENTED,2024-04-19 18:13:36+00:00,
25349,mshabunin,COMMENTED,2024-04-28 10:50:37+00:00,
25349,gursimarsingh,COMMENTED,2024-04-29 09:22:17+00:00,
25349,mshabunin,COMMENTED,2024-05-02 10:43:22+00:00,
25349,gursimarsingh,COMMENTED,2024-05-02 22:37:09+00:00,
25349,gursimarsingh,COMMENTED,2024-05-02 22:37:49+00:00,
25292,asmorkalov,COMMENTED,2024-04-16 10:08:47+00:00,
25043,asmorkalov,COMMENTED,2024-02-19 06:43:11+00:00,
25022,asmorkalov,COMMENTED,2024-02-14 13:03:55+00:00,
25022,lpanaf,COMMENTED,2024-02-15 10:24:15+00:00,
24927,asmorkalov,COMMENTED,2024-01-29 08:51:19+00:00,
24927,vrabaud,COMMENTED,2024-01-30 13:24:32+00:00,
24844,georgthegreat,COMMENTED,2024-01-10 15:19:28+00:00,
24844,georgthegreat,COMMENTED,2024-01-10 15:20:21+00:00,
24822,opencv-alalek,COMMENTED,2024-01-07 08:09:02+00:00,Thank you for the contribution!
24822,Kumataro,COMMENTED,2024-01-08 02:55:07+00:00,
24822,Kumataro,COMMENTED,2024-01-08 02:59:47+00:00,
24822,Kumataro,COMMENTED,2024-01-08 03:02:29+00:00,
24822,asmorkalov,COMMENTED,2024-01-09 06:49:54+00:00,
24822,Kumataro,COMMENTED,2024-01-09 09:19:59+00:00,
24822,Kumataro,COMMENTED,2024-01-09 09:51:25+00:00,
24822,Kumataro,COMMENTED,2024-01-09 10:06:12+00:00,
24822,Kumataro,COMMENTED,2024-01-09 10:06:43+00:00,
24791,DariaMityagina,COMMENTED,2023-12-28 18:46:52+00:00,
24791,dmatveev,COMMENTED,2023-12-29 15:02:11+00:00,
24791,dmatveev,COMMENTED,2023-12-29 15:03:13+00:00,
24791,dmatveev,COMMENTED,2023-12-29 15:04:20+00:00,
24791,DariaMityagina,COMMENTED,2023-12-29 15:04:27+00:00,
24691,opencv-alalek,COMMENTED,2023-12-13 14:27:21+00:00,
24691,Abdurrahheem,COMMENTED,2023-12-13 15:21:13+00:00,
24691,opencv-alalek,COMMENTED,2023-12-13 18:18:07+00:00,
24691,Abdurrahheem,COMMENTED,2023-12-13 19:09:10+00:00,
24691,dkurt,COMMENTED,2023-12-14 08:44:21+00:00,
24691,dkurt,COMMENTED,2023-12-14 08:45:13+00:00,
24691,dkurt,COMMENTED,2023-12-14 08:46:59+00:00,
24691,dkurt,COMMENTED,2023-12-14 08:47:44+00:00,
24691,Abdurrahheem,COMMENTED,2023-12-14 08:48:27+00:00,
24691,Abdurrahheem,COMMENTED,2023-12-14 08:48:33+00:00,
24691,Abdurrahheem,COMMENTED,2023-12-14 08:48:52+00:00,
24691,dkurt,COMMENTED,2023-12-14 08:49:27+00:00,
24691,Abdurrahheem,COMMENTED,2023-12-14 08:50:49+00:00,
24691,Abdurrahheem,COMMENTED,2023-12-14 09:05:19+00:00,
24691,Abdurrahheem,COMMENTED,2023-12-14 09:05:55+00:00,
24691,dkurt,COMMENTED,2023-12-14 09:09:15+00:00,
24691,fengyuentau,COMMENTED,2023-12-14 09:16:41+00:00,
24691,dkurt,COMMENTED,2023-12-14 09:23:53+00:00,
24691,dkurt,COMMENTED,2023-12-14 09:25:00+00:00,
24691,Abdurrahheem,COMMENTED,2023-12-14 09:45:52+00:00,
24691,Abdurrahheem,COMMENTED,2023-12-15 07:00:59+00:00,
24691,fengyuentau,COMMENTED,2023-12-15 07:03:18+00:00,
24691,dkurt,COMMENTED,2023-12-15 12:08:15+00:00,
24691,dkurt,COMMENTED,2023-12-15 12:14:05+00:00,
24691,dkurt,COMMENTED,2023-12-15 12:14:40+00:00,
24691,dkurt,COMMENTED,2023-12-15 12:15:43+00:00,
24691,asmorkalov,COMMENTED,2023-12-18 06:39:22+00:00,
24691,Abdurrahheem,COMMENTED,2023-12-18 14:18:12+00:00,
24691,Abdurrahheem,COMMENTED,2023-12-18 14:19:20+00:00,
24691,Abdurrahheem,COMMENTED,2023-12-18 14:19:25+00:00,
24691,Abdurrahheem,COMMENTED,2023-12-18 14:19:29+00:00,
24691,Abdurrahheem,COMMENTED,2023-12-18 14:19:36+00:00,
24691,dkurt,COMMENTED,2023-12-19 15:37:10+00:00,
24691,dkurt,COMMENTED,2023-12-19 15:37:55+00:00,
24691,dkurt,COMMENTED,2023-12-19 15:39:37+00:00,
24691,dkurt,COMMENTED,2023-12-19 15:43:25+00:00,
24691,dkurt,COMMENTED,2023-12-19 15:47:53+00:00,
24691,opencv-alalek,COMMENTED,2023-12-19 20:10:36+00:00,
24691,Abdurrahheem,COMMENTED,2023-12-20 04:30:09+00:00,
24691,Abdurrahheem,COMMENTED,2023-12-21 05:37:33+00:00,
24691,dkurt,COMMENTED,2023-12-21 14:11:14+00:00,
24691,Abdurrahheem,COMMENTED,2023-12-22 05:31:30+00:00,
24691,Abdurrahheem,COMMENTED,2023-12-22 05:31:39+00:00,
24691,Abdurrahheem,COMMENTED,2023-12-22 05:31:45+00:00,
24691,Abdurrahheem,COMMENTED,2023-12-22 05:32:06+00:00,
24691,opencv-alalek,COMMENTED,2023-12-22 05:34:46+00:00,
24691,Abdurrahheem,COMMENTED,2023-12-22 05:57:44+00:00,
24691,dkurt,COMMENTED,2023-12-22 06:21:12+00:00,
24691,dkurt,COMMENTED,2023-12-22 06:21:38+00:00,
24691,dkurt,COMMENTED,2023-12-22 06:22:35+00:00,
24691,dkurt,COMMENTED,2023-12-22 06:24:18+00:00,
24691,dkurt,COMMENTED,2023-12-22 06:25:46+00:00,
24691,dkurt,COMMENTED,2023-12-22 06:26:58+00:00,
24691,Abdurrahheem,COMMENTED,2023-12-22 06:28:29+00:00,
24691,dkurt,COMMENTED,2023-12-22 06:30:00+00:00,
24691,dkurt,COMMENTED,2023-12-22 06:33:47+00:00,
24691,opencv-alalek,COMMENTED,2023-12-22 06:54:28+00:00,
24691,opencv-alalek,COMMENTED,2023-12-22 06:56:03+00:00,
24691,dkurt,COMMENTED,2023-12-22 06:57:10+00:00,
24691,Abdurrahheem,COMMENTED,2023-12-22 12:56:04+00:00,
